"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 17","915.30","1,001.55","1,026.30","914.55","-","-8.58%"
"Oct 17","921.10","914.65","950.85","906.80","-","0.63%"
"Nov 17","943.80","921.15","959.20","918.10","-","2.46%"
"Dec 17","934.60","943.85","946.20","872.65","-","-0.97%"
"Jan 18","1,005.50","936.20","1,033.30","934.50","-","7.59%"
"Feb 18","984.80","1,005.20","1,016.50","960.40","-","-2.06%"
"Mar 18","936.60","984.80","985.30","931.90","-","-4.89%"
"Apr 18","906.40","936.90","957.00","903.80","-","-3.22%"
"May 18","909.80","906.40","930.50","877.80","-","0.38%"
"Jun 18","856.90","909.80","914.50","846.40","-","-5.81%"
"Jul 18","839.40","856.70","862.10","794.70","-","-2.04%"
"Aug 18","787.80","839.40","843.80","756.00","-","-6.15%"
"Sep 18","818.30","786.30","839.00","765.60","-","3.87%"
"Oct 18","841.50","818.60","854.40","811.40","-","2.84%"
"Nov 18","801.00","841.80","881.50","799.20","-","-4.81%"
"Dec 18","801.40","802.10","816.50","778.70","-","0.05%"
"Jan 19","823.00","801.15","836.50","788.10","-","2.70%"
"Feb 19","874.10","823.70","879.80","780.90","-","6.21%"
"Mar 19","856.30","874.15","877.10","809.60","-","-2.04%"
"Apr 19","891.40","856.40","920.40","847.80","-","4.10%"
"May 19","792.80","891.40","892.40","788.40","-","-11.06%"
"Jun 19","834.40","793.00","844.90","790.25","-","5.25%"
"Jul 19","868.60","834.30","889.60","808.35","-","4.10%"
"Aug 19","936.60","868.55","944.15","835.25","-","7.83%"
"Sep 19","892.15","936.50","1,000.80","880.30","-","-4.75%"
"Oct 19","936.30","891.60","943.75","875.55","-","4.95%"
"Nov 19","898.10","936.60","959.90","867.85","-","-4.08%"
"Dec 19","971.90","898.05","990.50","886.50","-","8.22%"
"Jan 20","962.65","973.55","1,046.55","952.85","-","-0.95%"
"Feb 20","866.35","962.65","1,020.90","847.85","-","-10.00%"
"Mar 20","718.65","866.30","915.85","562.00","-","-17.05%"
"Apr 20","805.50","718.10","837.90","701.60","-","12.09%"
"May 20","877.00","805.70","943.00","757.75","-","8.88%"
"Jun 20","852.65","877.20","908.50","790.65","-","-2.78%"
"Jul 20","919.70","852.60","1,002.00","819.25","-","7.86%"
"Aug 20","937.05","918.00","1,035.50","903.90","-","1.89%"
"Sep 20","903.25","936.80","989.45","821.25","-","-3.61%"
"Oct 20","847.10","903.30","923.30","841.70","-","-6.22%"
"Nov 20","972.20","845.75","982.90","839.50","-","14.77%"
"Dec 20","1,079.50","972.20","1,092.70","932.30","-","11.04%"
"Jan 21","1,098.10","1,079.50","1,163.40","1,011.10","-","1.72%"
"Feb 21","1,205.25","1,098.10","1,348.30","1,085.00","-","9.76%"
"Mar 21","1,191.10","1,206.20","1,239.95","1,110.20","-","-1.17%"
"Apr 21","1,203.10","1,190.90","1,261.45","1,155.60","-","1.01%"
"May 21","1,193.00","1,203.60","1,281.50","1,162.10","-","-0.84%"
"Jun 21","1,066.00","1,193.40","1,210.60","1,021.75","-","-10.65%"
"Jul 21","1,045.50","1,066.80","1,145.15","1,032.65","-","-1.92%"
"Aug 21","1,012.10","1,045.75","1,065.90","954.00","-","-3.19%"
"Sep 21","960.50","1,012.10","1,026.10","893.00","-","-5.10%"
"Oct 21","1,021.50","960.45","1,080.80","960.45","-","6.35%"
"Nov 21","932.75","1,021.50","2,040.03","923.00","-","-8.69%"
"Dec 21","965.80","933.35","989.95","886.15","-","3.54%"
"Jan 22","1,022.25","964.30","1,064.30","919.70","-","5.84%"
"Feb 22","1,045.20","1,022.25","1,131.60","1,004.25","-","2.25%"
"Mar 22","984.25","1,045.35","1,196.70","954.05","-","-5.83%"
