"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 20","2,325.95","2,273.90","2,454.50","2,191.20","-","2.29%"
"Oct 20","2,215.70","2,324.00","2,491.90","2,182.00","-","-4.74%"
"Nov 20","2,374.60","2,221.50","2,522.25","2,196.00","-","7.17%"
"Dec 20","2,455.50","2,374.10","2,476.50","2,225.10","-","3.41%"
"Jan 21","2,211.00","2,455.50","2,535.50","2,190.50","-","-9.96%"
"Feb 21","2,329.50","2,211.00","2,490.00","2,208.00","-","5.36%"
"Mar 21","2,617.00","2,329.50","2,748.00","2,264.25","-","12.34%"
"Apr 21","2,935.00","2,621.50","3,008.50","2,586.50","-","12.15%"
"May 21","2,844.00","2,940.75","3,019.00","2,733.00","-","-3.10%"
"Jun 21","2,780.50","2,848.25","2,875.00","2,452.00","-","-2.23%"
"Jul 21","2,664.00","2,780.50","2,882.00","2,566.50","-","-4.19%"
"Aug 21","2,466.50","2,649.75","2,707.25","2,260.00","-","-7.41%"
"Sep 21","1,897.00","2,466.50","2,494.50","1,827.00","-","-23.09%"
"Oct 21","1,988.50","1,897.00","2,205.50","1,831.00","-","4.82%"
"Nov 21","1,735.50","1,989.00","2,215.25","1,696.50","-","-12.72%"
"Dec 21","1,903.00","1,735.50","2,019.28","1,531.53","-","9.65%"
"Jan 22","2,335.52","1,892.25","2,448.00","1,817.25","-","22.73%"
"Feb 22","2,487.52","2,338.50","2,712.27","2,168.00","-","6.51%"
"Mar 22","2,274.52","2,488.50","3,417.02","2,025.50","-","-8.56%"
"Apr 22","2,423.00","2,278.50","2,465.00","2,166.00","-","6.53%"
